"ID","Predict"
"0","Amends the Water Resources Development Act of 1999 (Water Resources Development Act of 1992 (Water Resources Development Act of 1992 (Water Resources Development Act of 1992 (Water Resources Development Act of 1992 (Water Resources Development Act of 1992 (Water Resources Development Act of 1992). Amends the Water Resources Development Act of 1992 (Water Resources Development Act of 1992 (Water Resources Development Act of 1992. Amends the Water Resources Development Act of 1992 (Water Resources Development Act of 1992 (Water Resources Development Act of 1992 (Water Resources Development Act of 1992). Amends the Water Resources Development Act of 1999 (Water Resources Development Act of 1992"
"1","Federal Forage Fee Act of 1993 - Amends the Federal Land Policy and Management Act of 1976 to require the Secretary of Agriculture to: (1) declares that: (1) the public lands are producing and continuing to produce water and soil conservation benefits. livestock forage and recreation and other multiple use opportunities; (2) rangelands Willcontinu to be stabilized and improved long term by providing for cooperative agreements. private. public partnerships and flexibility in management programs and agreements; and (3) ensure sound management and stewardship of the renewable resources. Amends the Federal Land Policy and Management Act of 1993 - Amends the Federal"
"2","Merchant Marine of World War II Congressional Gold Medal Act - Directs the Speaker of the House of Representatives and the President pro tempore of the Senate to make appropriate arrangements for the award. on behalf of the Congress. of a single gold medal of appropriate design to the U.S. Merchant Marine of World War II. Directs the Secretary of the Treasury to make appropriate arrangements for the award. on behalf of the Congress. of a single gold medal of appropriate design to the U.S. Merchant Marine of World War II. in recognition of their dedicated and vital service during World War II. Requi"
"3","Small Business Tax Modernization Act of 2004 - Amends the Internal Revenue Code to direct the corporation to: (1) establish a corporation. Requires the shareholders to be treated as a partnership for purposes of the partnership. Amends the Internal Revenue Code to: (1) eliminate the tax treatment of a corporation no stock of which is readily tradable on an established securities market or otherwise. and (2) the term &quot;partnership"""" with respect to the corporation. Requires the shareholders to be treated as a syndicate. group. pool. joint venture. joint venture."
"4","Fair Access to Investment Research Act of 2016 This bill directs the Securities and Exchange Commission to propose. and not later than the end of the 180-day period beginning on the date of enactment of this Act. Requires the Securities and Exchange Commission to propose. and not later than the end of the 180-day period beginning on the date of enactment of this Act. Requires the Securities and Exchange Commission to propose. and not later than the end of the 180-day period beginning on the date of enactment of the Safe Harbor. Requires the Commission to"
"5","Prescription Drug Monitoring Act of 2016 This bill directs the Attorney General. in coordination with the Secretary of Health and Human Services to award. on a competitive basis. a grant to an eligible entity to establish and maintain an inter-State data-sharing single hub to facilitate the sharing of PDMP data among States and the accessing of such data. Requires the data-sharing single technology solution established under the Harold Rogers Prescription Drug Monitoring Program established under the Departments of Commerce. Justice. and State. and State. the Judiciary. and Related Agencies Appropriations Act"
"6","Strategic Gasoline and Fuel Reserve Act of 2005 - Amends the Energy Policy and Conservation Act to require the Secretary of Energy to establish. maintain. and operate a Strategic Gasoline and Fuel Reserve. Directs the Secretary to establish. maintain. and operate a Strategic Gasoline and Fuel Reserve. Directs the Secretary of Energy to establish. maintain. and operate a Strategic Gasoline and Fuel Reserve established under part B. Requires the Secretary to establish. maintain. and operate a Strategic Gasoline and Fuel Reserve Act of 2005 - Amends the Energy Policy and Conservation"
"7","Speial Agent Scott K. Carey Public Safety Officer Benefits Enhancement Act - Amends the Omnibus Crime Control and Safe Streets Act of 1968 to require the Bureau of the Omnibus Crime Control and Safe Streets Act of 1968 to require the Bureau to pay an annual pension to one or more survivors of the deceased public safety officer. Amends the Omnibus Crime Control and Safe Streets Act of 1968 to require the Bureau to pay an annual pension to one or more survivors of the deceased public safety officer. Amends the Omnibus Crime Control and Safe Streets Act - Amends the"
"8","Promoing Financial Literacy and Economic Opportunity Act of 2015 This bill amends the Internal Revenue Code to allow an eligible for profit organization for purposes of the excellence in economic education credit for a taxable year to carry out the purposes specified of the Elementary and Secondary Education Act of 1965 to require the Secretary of Education to determine which for profit organizations that serve either urban or rural underserved areas. Directs the Secretary of Education to determine which for profit organizations that serve either urban or rural underserved areas; (2) Majority of recipients must be mwosbs. owned by veterans. or meet asset test"
"9","Amends the Tariff Act of 1930 to prohibit any person who holds a waiver of any sovereign immunity of a State or local government or an Indian tribe against anyunconsented lawsuit. Amends the Tariff Act of 1930 to require any person who holds a waiver of any sovereign immunity of a State or local government or an Indian tribe against anyunconsented lawsuit. Amends the Tariff Act of 1930 to require any person who holds a waiver of any sovereign immunity of a State or local government or an Indian tribe."
"10","Outer Continental Shelf Revenue Sharing Act of 2005 - Amends the Outer Continental Shelf Lands Act (Outer Continental Shelf Revenue Sharing Act of 2005 - Amends the Outer Continental Shelf Lands Act to require the Outer Continental Shelf Lands Act to direct the Secretary of the Interior to: (1) provide for offshore leasing. preleasing. or any related activity. Requires the Secretary to provide for offshore leasing and preleasing activities and any Attributing revenues under the Outer Continental Shelf Revenue Sharing Act of 2005 - Amends the Outer Continental Shelf Revenue Sharing Act of 2005"
"11","Developmentmental Disabilities Assistance and Bill of Rights Act Amendments of 1993 - Amends the Developmental Disabilities Assistance and Bill of Rights Act to revise the Developmental Disabilities Assistance and Bill of Rights Act to revise the Developmental Disabilities Assistance and Bill of Rights Act to revise the Developmental Disabilities Assistance and Bill of Rights Act to revise the Developmental Disabilities Assistance and Bill of Rights Act to authorize the Secretary of Health and Human Services (DOD) to authorize the Secretary of Developmental Disabilities Assistance and Bill of Rights Act to require"
"12","Amends the Higher Education Act of 1965 to direct the Secretary of Education (HHS) to apply procedures throughout the accrediting process. including evaluation. interim sanction. and withdrawal or termination of accreditation proceedings. that comply with due process. including the right to: (1) sufficient specification of the agency's accrediting requirements; (2) written notice of deficiencies at the institution of higher education or program being examined and a reasonable Time period. expressly sets forth in the notice. to correct the deficiencies; (3) appeal any adverse action by the agency's decision Making board."
"13","Robt S. Walker and George E. Brown. Jr. Hydrogen Energy Act of 2001 - Amends the Spark M. Matsunaga Hydrogen Research. Development. and Demonstration Act of 1990 - Amends the Spark M. Matsunaga Hydrogen Research. Development. and Demonstration Act of 1990 to direct the Secretary to conduct research. development. and demonstration activities leading to the production. storage. transportation. and use of hydrogen for industrial. commercial. residential. transportation. and use of hydrogen manufacture that minimize adverse environmental impacts. including efficient and cost-effective"
"14","Mercury Health Advisory Act of 2003 - Requires the Secretary of Health and Human Services to establish appropriate advisories for the distribution to the public of explanations of the potential adverse effects of mercury exposure through the consumption of fish products; (2) require the Secretary of Health and Human Services to work cooperatively with other federal and State agencies. Requires the Secretary of Health and Human Services to work cooperatively with other federal and State agencies. Requires the Secretary of Health and Human Services to work cooperatively with other federal and state agencies. Requires the Secretary of Health and Human Services to"
"15","Authorizes the Secretary of Energy to enter into 1- or more long-term contracts for the procurement. from a facility located within 25 miles of a current or former Department of Energy defense nuclear facility. of products and services that are determined by the Secretary to be necessary to support waste cleanup and modernization activities At such facilities. including the following services and related products; (2) waste remediation and environmental restoration. including treatment. storage. and disposal; (2) technical services; and (2) technical services; and (2) financial services. Requires the contractor from and against all liability. including liability for legal costs. Requires"
"16","Health Care Fraud Prevention and Paperwork Reduction Act of 2000 - Establishes the Commission on Billing Codes and Forms Simplification (HHS) to establish a process under which a physician may request. in writing from a carrier. assistance in addressing questionable codes and procedures under the medicare program under title XVIII of the Social Security Act and thereafter the carrier shall respond within 30 business days respond with the correct billing or procedural answer. Requires the Administrator of the Health Care Financing Administration to restore the toll-free telephone Hotline"
"17","State Innovation Pilot Act of 2011 - Amends the Elementary and Secondary Education Act of 1965 to direct the Secretary of Education to waive any statutory or regulatory requirement of the Act for a State educational agency. local educational agency. Indian tribes to implement alternative and innovative strategies to improve student academic achievement and otherwise meet the purposes of the Elementary and Secondary Education Act of 1965 to waive any statutory or regulatory requirement of this Act. Requires the Secretary to waive any statutory or regulatory requirement of this Act to waive any statutory or regulatory requirement of this Act. Requires the Secretary to waive any statutory"
"18","No Second Chances for Murderers. Rapists. or Child Molesters Act of 1998 - Expresses the sense of Congress that: (1) any individual convicted of murder should receive the death penalty or be imprisoned for life without the possibility of parole; and (2) any individual convicted of rape or a dangerous sexual offense involving a child under the age of 14 should be imprisoned for life without the possibility of parole; and (2) any individual convicted of rape or a dangerous sexual offense involving a person of murder. rape. or"
"19","Amends the Internal Revenue Act of 1986 to revise the value of the gross estate with respect to the value of any qualified historic property included to the value of any qualified historic property included to the value of any qualified historic property included to the value of any qualified historic property included to the value of any qualified historic property included to the value of any qualified historic property included to the value of any qualified historic property included to the value of any qualified historic property included to the value of any qualified historic property included to the value of any qualified historic property included in the 10-year period ending on the date of the"
"20","Constributions Legally Interdicted from Noncitizens To Our Nonprofits Act of 2016 or the CLINTON Act of 2016 This bill amends the Internal Revenue Code to prohibit a Federal official organization to prohibit any federal official organization to prohibit any person from any person connected to a foreign government."
"21","Reduce Expenditures in Nuclear Infrastructure Now Act or theREIN-IN Act This bill authorizes the funds authorized to be appropriated or otherwise made available for FY2014 or any fiscal year thereafter for the Department of Defense or the Department of Energy to be used to make the F-35 Joint Strike Fighter aircraft capable of carrying nuclear weapons. Requires any other provision of law. none of the funds authorized to be appropriated or otherwise made available for FY2014 or any fiscal year thereafter for the Department of Defense or the Department of Energy or the Secretary of Defense or the Secretary of Defense or the Department of"
"22","Amends the Internal Revenue Code to: (1) apply to any political organization for any taxable year if: (1) all excess campaign contributions received by such organization during such taxable year shall be included in gross income and the exemptions received by such organization during such taxable year. Amends the Internal Revenue Code to: (1) apply to any political organization for any taxable year if: (1) all excess campaign contributions received by such organization during such taxable year shall be excluded in gross income and the exemptions received by such organization during such taxable year."
"23","Clinical Laboratory Compliance Improvement Act of 2004 - Amends title XVIII (Medicare) of the Social Security Act to require each provider or clinical laboratory approved for participation under this Act to provide clinical diagnostic laboratory tests to post in a conspicuous place a notice to employees that indicates the manner that indicates the manner in which to report instances of noncompliance with conditions of participation under the title of the provider or laboratory (as case may be). including deficiencies with respect to testing. quality. and inadequately trained personnel. Requires each provider or clinical laboratory approved for participation under the"
"24","Amends the Internal Revenue Code to: (1) require bonds issued before enactment of the Comprehensive Electricity Competition Act. Requires any bond issued before enactment of the Comprehensive Electricity Competition Act. Requires such bond shall be made without regard to any permissible competitive actions taken by the issuer. any portion of the proceeds of such issuer is subject to an order of the Federal Energy Regulatory Commission requiring nondiscriminatory. open access to transmission facilities in a manner consistent with rules promulgated by the issuer if the issuer is subject to"
"25","United States-Afghanistan Status of Forces Agreement (SOFA) Act of 2011 - Directs the President to seek to negotiate and enter into a bilateral status of forces agreement with the Government of Afghanistan to: (1) prohibit the permanent basing or military presence of U.S. Armed Forces in Afghanistan; (2) provide a date for the complete. safe. and orderly redeployment from Afghanistan of all members of the United States Armed Forces in Afghanistan. Requires the President to submit to the Permanent Select Committee on Intelligence of the United States Armed Force"
"26","Directs the Secretary of Veterans Affairs to implement a system by which persons with limited English proficiency to meaningfully access the services provided by the Department of Veterans Affairs. including identifying the non-English languages that are likely to be encountered. Requires the Secretary to implement a plan to improve access to programs and activities of the Department of Veterans Affairs. Requires the Secretary to implement a plan to improve access to programs and activities of the Department of Veterans Affairs. Requires the Secretary to implement a plan to improve access to programs and activities of the Department of Veterans Affairs to implement a system"
"27","Enduring Defense Support to Catastrophic Incident Response Act of 2008 - Amends the Federal criminal code to require the Department of Defense to undertake civil support operations in response to catastrophic incidents in the United States. Requires the Secretary of Defense to undertake civil support operations in response to catastrophic incidents in the United States. Requires the Secretary of Defense to undertake civil support operations in response to catastrophic incidents in the United States. Requires the Secretary of Defense to undertake civil support operations in response to catastrophic incidents in the United States. Requires the Secretary of Defense to undertake civil support"
"28","Energy Security Act of 2011 - Establishes the National Energy Security Council to coordinate the activities and policies of the Federal Government to ensure. to the maximum extent practicable. that the United States meets: (1) goals for reducing oil dependence. oil imports. and oil consumption; and (2) other energy policy goals. Requires the President to: (1) develop a national oil independence plan that describes programs and activities that shall be implemented to meet or exceed the national oil independence goal and other goals. Requires the President. Requires the President to review existing programs and authorities of the"
"29","Return of Talent Act - Amends the Immigration and Nationality Act to direct the Secretary of Homeland Security to establish the Return of Talent Program to permit eligible aliens to temporarily return to the alien's country of citizenship to temporarily return to the alien's country of citizenship to temporarily return to the alien's country of citizenship in order to make a material contribution to that country if the country is engaged in post-conflict reconstruction activities. Requires the Secretary of Homeland Security to establish the Return of Talent Program to permit eligible aliens to that Immigrant"
"30","Amends the Federal criminal code to authorize the Secretary of Education to: (1) establish a program of education consisting of institutional courses and alternate phases of training in a business or industrial establishmenta strictly supplemental to the institutional portion. Requires the Secretary of Education to: (1) determine whether such person is in need of special restorative training; and (2) fail to receive credit or training time toward completion of the individual's approved educational. professional. or vocational objective as a result of having to discontinue. Amends the Federal criminal code to revise"
